Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
v3,100,0.25,0.0006,0.012755,0.150000,0.09
v3,100,1.0,0.0022,0.013889,0.150000,0.09
v3,1000,0.25,0.6661,0.001126,0.150000,0.01
v3,1000,0.5,1.3264,0.001131,0.150000,0.01
v3,5000,0.25,86.3498,0.000217,0.150000,0.00
v3,5000,0.5,156.2125,0.000240,0.150000,0.00
v3,100,0.25,0.0216,0.000347,0.150000,0.00
v3,100,1.0,0.0048,0.006268,0.150000,0.04
v3,1000,0.25,0.7775,0.000965,0.150000,0.01
v3,1000,0.5,1.5399,0.000974,0.150000,0.01
v3,5000,0.25,85.3000,0.000220,0.150000,0.00
v3,5000,0.5,127.0653,0.000295,0.150000,0.00
v3,100,0.25,0.0190,0.000395,0.150000,0.00
v3,100,1.0,0.0023,0.013292,0.150000,0.09
v3,1000,0.25,0.4924,0.001523,0.150000,0.01
v3,1000,0.5,1.6239,0.000924,0.150000,0.01
v3,5000,0.25,77.4502,0.000242,0.150000,0.00
v3,5000,0.5,146.4522,0.000256,0.150000,0.00
v3,100,0.25,1.2799,0.000006,0.150000,0.00
v3,100,1.0,1.4592,0.000021,0.150000,0.00
v3,1000,0.25,16.0330,0.000047,0.150000,0.00
v3,1000,0.5,12.7684,0.000117,0.150000,0.00
v3,5000,0.25,113.6316,0.000165,0.150000,0.00
v3,5000,0.5,82.1273,0.000457,0.150000,0.00
v3,100,0.25,0.0141,0.000533,0.150000,0.00
v3,100,1.0,0.0174,0.001727,0.150000,0.01
v3,1000,0.25,0.5347,0.001403,0.150000,0.01
v3,1000,0.5,1.1361,0.001320,0.150000,0.01
v3,5000,0.25,89.7902,0.000209,0.150000,0.00
v3,5000,0.5,156.0108,0.000240,0.150000,0.00
