Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
v6,5000,0.25,211.7738,0.000089,0.150000,0.00
v6,5000,0.5,417.5505,0.000090,0.150000,0.00
v6,100,0.25,0.1659,0.000045,0.150000,0.00
v6,100,1.0,0.1766,0.000170,0.150000,0.00
v6,1000,0.25,0.1831,0.004096,0.150000,0.03
v6,1000,0.5,0.2678,0.005601,0.150000,0.04
v6,5000,0.25,0.2143,0.087499,0.150000,0.58
v6,5000,0.5,0.3751,0.099964,0.150000,0.67
v6,100,0.25,0.3434,0.000022,0.150000,0.00
v6,100,1.0,0.4290,0.000070,0.150000,0.00
v6,1000,0.25,0.4507,0.001664,0.150000,0.01
v6,1000,0.5,0.3689,0.004066,0.150000,0.03
v6,5000,0.25,0.6754,0.027761,0.150000,0.19
v6,5000,0.5,0.8500,0.044118,0.150000,0.29
