Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
v1,10,0.25,0.0002,0.000487,0.150000,0.00
v1,10,0.25,0.0003,0.000275,0.150000,0.00
v1,10,0.5,0.0002,0.000617,0.150000,0.00
v1,10,0.75,0.0001,0.002344,0.150000,0.02
v1,10,1.0,0.0001,0.002970,0.150000,0.02
v1,100,0.25,0.0010,0.007177,0.150000,0.05
v1,100,0.5,0.0026,0.005671,0.150000,0.04
v1,100,0.75,0.0183,0.001230,0.150000,0.01
v1,100,1.0,0.0042,0.007062,0.150000,0.05
v1,1000,0.25,0.9424,0.000796,0.150000,0.01
v1,1000,0.5,1.7335,0.000865,0.150000,0.01
v1,1000,0.75,2.3600,0.000953,0.150000,0.01
v1,1000,1.0,3.2960,0.000910,0.150000,0.01
v1,5000,0.25,157.0901,0.000119,0.150000,0.00
v1,5000,0.5,282.1610,0.000133,0.150000,0.00
v1,10,0.25,0.0001,0.000595,0.150000,0.00
v1,10,0.25,0.0005,0.000145,0.150000,0.00
v1,10,0.5,0.0267,0.000006,0.150000,0.00
v1,10,0.75,0.0588,0.000004,0.150000,0.00
v1,10,1.0,0.0018,0.000171,0.150000,0.00
v1,100,0.25,0.0022,0.003482,0.150000,0.02
v1,100,0.5,0.0044,0.003407,0.150000,0.02
v1,100,0.75,0.0058,0.003885,0.150000,0.03
v1,100,1.0,0.0056,0.005395,0.150000,0.04
v1,1000,0.25,1.0018,0.000749,0.150000,0.00
v1,1000,0.5,1.8438,0.000814,0.150000,0.01
v1,1000,0.75,2.4557,0.000916,0.150000,0.01
v1,1000,1.0,3.5270,0.000851,0.150000,0.01
v1,5000,0.25,156.6071,0.000120,0.150000,0.00
v1,5000,0.5,285.9698,0.000131,0.150000,0.00
v1,5000,0.75,384.2751,0.000146,0.150000,0.00
v1,5000,1.0,3008.6945,0.000025,0.150000,0.00
