Version,V,D,Time(s),GFLOPS,Intensity,Bandwidth(GB/s)
v5,1000,0.25,0.2128,0.003524,0.150000,0.02
v5,10,0.25,0.0015,0.000051,0.150000,0.00
v5,10,0.5,0.0104,0.000014,0.150000,0.00
v5,10,0.75,0.0005,0.000443,0.150000,0.00
v5,10,1.0,0.0067,0.000045,0.150000,0.00
v5,100,0.25,0.0067,0.001111,0.150000,0.01
v5,100,0.5,0.0060,0.002481,0.150000,0.02
v5,100,0.75,0.0057,0.003931,0.150000,0.03
v5,100,1.0,0.0049,0.006158,0.150000,0.04
v5,1000,0.25,0.1968,0.003812,0.150000,0.03
v5,1000,0.5,0.3389,0.004426,0.150000,0.03
v5,1000,0.75,0.6142,0.003663,0.150000,0.02
v5,1000,1.0,0.7240,0.004144,0.150000,0.03
v5,5000,0.25,34.9712,0.000536,0.150000,0.00
v5,5000,0.5,71.2008,0.000527,0.150000,0.00
v5,5000,0.75,106.4739,0.000528,0.150000,0.00
v5,5000,1.0,139.4458,0.000538,0.150000,0.00
v5,100,0.25,0.0059,0.001263,0.150000,0.01
v5,100,1.0,0.0090,0.003349,0.150000,0.02
v5,1000,0.25,0.4327,0.001733,0.150000,0.01
v5,1000,0.5,0.8043,0.001865,0.150000,0.01
v5,5000,0.25,42.2173,0.000444,0.150000,0.00
v5,5000,0.5,83.3688,0.000450,0.150000,0.00
v5,100,0.25,0.1187,0.000063,0.150000,0.00
v5,100,1.0,0.0239,0.001257,0.150000,0.01
v5,1000,0.25,0.7480,0.001003,0.150000,0.01
v5,1000,0.5,1.5500,0.000968,0.150000,0.01
v5,5000,0.25,70.3101,0.000267,0.150000,0.00
v5,100,0.25,1.2324,0.000006,0.150000,0.00
v5,100,1.0,0.3271,0.000092,0.150000,0.00
v5,1000,0.25,6.2372,0.000120,0.150000,0.00
v5,1000,0.5,11.1025,0.000135,0.150000,0.00
v5,5000,0.5,201.4950,0.000186,0.150000,0.00
v5,5000,0.25,119.8635,0.000156,0.150000,0.00
v5,5000,0.5,101.9215,0.000368,0.150000,0.00
